geneNames	GSM161945	GSM161946	GSM161948	GSM161949	GSM161950	GSM161951	GSM161952	GSM161953	GSM161954	GSM161955	GSM161956	GSM161957	GSM161958	GSM161959	GSM161960	GSM161961	GSM161962	GSM161963	GSM161964	GSM161965	GSM161966	GSM161967	GSM161968	GSM161969	GSM161970	GSM161971
HSPG2	377.3065	410.515	398.5545	375.4555	356.51	395.324	397.6585	414.8165	315.5925	293.616	328.732	343.186	439.319	409.068	372.607	477.991	424.9345	374.8715	333.0275	375.5235	262.3875	243.06685	244.5205	204.379	371.565	319.5105
HSPH1	936.157	791.558	456.858	726.82	1035.9065	633.13	889.403	767.623	717.313	613.468	749.0975	661.003	791.044	755.7565	736.973	712.4475	1095.279	934.256	1026.97	1003.9195	2461.32	711.3635	973.794	970.7455	157.466	410.866
HTATIP2	168.32635	167.61	160.34125	159.4715	137.202425	197.314	217.528125	190.8998	162.51245	177.24465	226.63475	144.88775	162.050825	164.390675	174.34225	148.507625	153.3498	158.252225	181.07425	204.76225	820.7165	529.847525	534.469	482.67375	156.913	201.851175
HTATSF1	1743.0675	1787.0405	1848.524	1931.063	1817.649	1784.717	1904.727	2104.9585	1747.5775	1575.882	1656.69	1775.072	1954.8695	1896.4305	1701.4975	1614.814	1782.512	2011.555	1372.513	1895.9955	1183.618	1021.8445	798.6375	778.503	256.5835	1175.0185
HTN1	41.3631	48.2522	59.6911	58.0812	46.5058	48.4066	41.92	38.4701	68.1873	54.4378	49.0884	45.3051	61.3353	40.6532	46.0002	44.644	66.8515	51.9622	46.418	52.2885	36.3315	34.8234	33.2501	35.4296	60.8393	46.8195
HTN3	24.0623	17.1073	21.3559	20.4442	17.5228	20.9438	19.8955	17.8238	29.0287	18.5705	22.0726	24.7947	15.421	18.6397	21.0413	16.4159	22.3717	22.0802	14.373	15.9596	19.824	28.4416	21.8199	24.1959	25.1981	28.0173
HTR1A	167.329	178.511	167.198	185.177	162.983	206.253	183.61	159.868	169.29	164.294	183.752	194.701	143.031	172.562	182.106	184.615	179.062	169.073	185.658	143.757	156.376	123.175	190.669	201.53	248.259	190.973
HTR1B	143.379	210.18	177.023	156.031	169.118	175.419	166.917	99.2852	185.652	146.186	140.416	169.141	166.971	148.575	146.437	116.089	114.254	157.938	210.773	141.508	93.7762	71.1695	181.217	142.295	297.927	163.364
HTR1D	56.6907	54.0098	63.8572	72.229	55.8399	79.0071	61.9701	53.7195	59.0939	54.6038	62.8959	55.7883	72.838	67.7655	53.0105	72.3267	72.0497	63.1388	87.8702	67.5956	57.5156	60.0521	68.6924	80.3382	87.238	66.6455
HTR1E	60.5682	64.0553	71.8571	53.6675	67.2264	69.9879	68.5829	58.6875	70.4181	70.0063	81.387	67.5619	76.3157	77.3581	64.9286	60.9462	81.9163	56.9074	72.9728	69.5108	58.3679	74.7092	97.3293	82.4208	93.7274	75.2053
HTR1F	127.22	159.408	132.869	175.201	107.059	134.239	132.571	98.6612	122.366	150.404	134.851	132.065	139.774	135.967	142.044	134.179	175.578	136.485	134.172	162.292	106.07	104.575	132.034	125.202	135.254	155.917
HTR2A	107.6233	121.5442	127.4308	102.28685	105.4163	111.0224	106.49475	105.57335	109.52355	104.79295	117.3229	112.18905	106.96745	102.131	109.67885	106.4787	103.7124	107.10025	106.82495	102.7234	81.4741	88.9601	100.29045	99.81915	122.23635	103.79405
HTR2B	63.0833	62.839	61.9506	63.6029	58.8586	80.7633	68.6148	78.3414	59.1741	76.0438	70.0533	70.5665	67.9107	71.4982	67.0565	61.7569	83.6828	71.6386	62.7251	63.7021	72.9308	63.9677	78.1009	94.0187	83.9198	60.1805
HTR2C	20.57705	26.8529	24.8825	21.79425	27.12805	28.14795	28.35835	24.9457	26.8552	30.77455	25.69015	39.6314	25.02225	31.8172	30.26035	26.0877	29.0494	28.2729	29.88985	25.71425	30.2135	25.78365	30.80825	25.7377	32.55685	28.98715
HTR3A	109.83585	97.46805	102.89325	101.37365	85.364	113.87575	101.4656	88.192	91.84955	108.293	93.9759	103.70115	117.30735	116.4442	119.6561	114.6372	117.801	120.85295	109.08175	124.1547	117.1535	97.49895	110.74265	118.34375	138.864	115.1685
HTR3B	131.354	120.629	128.103	130.089	112.81	131.766	116.221	102.572	114.87	131.865	112.387	115.682	113.638	109.826	102.226	116.841	106.179	94.0341	101.934	118.31	86.4584	128.817	110.741	115.096	126.722	112.136
HTR4	188.2631333	200.1367333	187.9573	169.8714333	181.9302333	203.2051	180.4662	177.0761333	187.8729	189.6803	177.4526	217.2288	176.2872	176.7321	190.2708	188.1876667	176.2399333	171.9878333	188.4248333	177.5611333	147.9584667	139.0185	193.3791667	183.1068	207.9523667	188.0081333
HTR5A	319.628	338.315	422.288	343.597	351.538	375.18	385.886	232.397	302.822	338.743	337.758	384.52	397.484	325.346	366.609	366.706	379.177	365.172	480.688	356.633	341.68	218.305	402.304	378.513	447.736	342.914
HTR6	34.0988	43.9075	34.8156	49.4532	45.6199	49.2274	39.3315	35.7997	43.085	48.9243	36.9719	53.5224	34.9288	35.358	22.2374	36.1021	42.2921	44.1672	36.3486	40.4629	31.3095	38.3183	48.0918	44.0005	60.7197	28.6398
HTR7	166.2845	192.0705	214.8125	206.523	178.8935	233.262	200.8835	174.5105	164.891	186.9205	198.0005	237.673	182.4465	184.318	167.6385	199.8755	212.2055	189.1915	213.711	186.3925	107.766	133.1975	195.7555	181.396	246.428	193.601
